mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004879379272460937,0.002832811816352282,0.0017478466033935547,0.0006006922483302832,rbf,scale,0.1,0.1,"{'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1, 'C': 0.1}",-1.0464175596326761,-0.5539981040189146,-0.5649462926472039,-3.613964809007186,-1.1208491779410603,-1.380035188649408,1.141545166239202,2
0.0075188159942626955,0.004902225566579219,0.0019867420196533203,0.0007919209396708921,rbf,1,0.01,0.1,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.01, 'C': 0.1}",-1.0516737000976766,-0.5595213991432255,-0.5615713202633695,-3.652152903837959,-1.1191967082521372,-1.3888232063188737,1.1559512730252905,10
0.0055522918701171875,0.0020924897185019614,0.00250859260559082,0.0008015964139247636,rbf,0.1,0.05,0.1,"{'kernel': 'rbf', 'gamma': 0.1, 'epsilon': 0.05, 'C': 0.1}",-1.0527661766933918,-0.5570230464529864,-0.5699769496086436,-3.61496137145074,-1.1243009095781904,-1.3838056907567904,1.1402519303785048,7
0.020604753494262697,0.015613104466465784,0.002529287338256836,0.0005390532740034198,rbf,1,0.01,100.0,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.01, 'C': 100}",-1.3449806507580149,-0.9206724313826958,-0.7321435911832647,-3.5864065015055426,-1.2586192741351905,-1.5685644897929418,1.033160799972702,17
0.015103769302368165,0.012369084107456173,0.002797365188598633,0.0021225020503624612,rbf,auto,0.1,10.0,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.1, 'C': 10}",-1.348309300477028,-0.7528652637284956,-0.5943726000684784,-3.358289646978622,-1.207453561184661,-1.4522580744874571,0.992855351362446,12
0.009404182434082031,0.007335746306422126,0.004017782211303711,0.0038084951359907064,rbf,auto,0.01,1.0,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.01, 'C': 1}",-1.0918615449255422,-0.5741997281902659,-0.5785967752463792,-3.5407393172784247,-1.1532761924536026,-1.387734711618843,1.1040365871934565,9
0.011022043228149415,0.00533692077810693,0.0022695064544677734,0.0008034008658046645,rbf,auto,0.05,1.0,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.05, 'C': 1}",-1.0902082154635557,-0.5738409906810664,-0.580129899708748,-3.538568304829169,-1.1501436191615895,-1.3865782059688256,1.1032405469785094,8
0.051055097579956056,0.03870997429531347,0.002013111114501953,0.0006387610369204222,rbf,auto,0.1,100.0,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.1, 'C': 100}",-2.6411517048442485,-1.1376308208129253,-0.6563519928632051,-3.074490662401204,-1.2920983381061004,-1.7603447038055369,0.9304437348328376,19
0.010667371749877929,0.005391944978405872,0.002789211273193359,0.001078553322872657,rbf,1,0.01,1.0,"{'kernel': 'rbf', 'gamma': 1, 'epsilon': 0.01, 'C': 1}",-1.0649356072503908,-0.5933505468211137,-0.5973722626587658,-3.538540106005965,-1.114162686980856,-1.3816722419434182,1.1009577642475732,5
0.005816936492919922,0.00408390679050234,0.0021379947662353515,0.0005304630812171349,rbf,auto,0.1,0.1,"{'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.1, 'C': 0.1}",-1.0531519332521029,-0.5537492977763393,-0.5650288274181631,-3.6141789061031653,-1.1209663826260698,-1.381415069435168,1.141257348813139,3
