,SVR_Forecast_Variance
2025-05-02,0.2743022517294654
2025-05-05,0.49397261538590626
2025-05-06,0.36142794675489875
2025-05-07,0.33093845026256785
2025-05-08,0.4278573356068316
2025-05-09,0.5426057813146378
2025-05-12,0.6903681589402627
2025-05-13,1.1589475457067984
2025-05-14,0.5530965337265371
2025-05-15,0.6889797484171424
2025-05-16,0.6314612314921232
2025-05-19,0.4765543091686353
2025-05-20,0.4217192048592945
2025-05-21,0.2987628627005878
2025-05-22,0.6068859123368352
2025-05-23,0.20363095752375715
2025-05-26,0.11082343870697098
2025-05-27,-0.010757815428519946
2025-05-28,0.46316602364801535
2025-05-29,0.5228250056857968
2025-05-30,0.4948499129215237
2025-06-02,0.2503248386132729
2025-06-03,0.4154543719849155
2025-06-04,0.2740867704322256
2025-06-05,0.28583968577012386
2025-06-06,0.17475664239580824
2025-06-09,0.1728929390080659
2025-06-10,0.11332815142338681
2025-06-11,0.1617594354585642
2025-06-12,0.09309470520401075
2025-06-13,0.1102735799634923
2025-06-16,0.18719446499427095
2025-06-17,0.42797979354684385
2025-06-18,0.17579084186990557
2025-06-19,0.29241538941631684
2025-06-20,0.1528827114132788
2025-06-23,0.20504323331674257
2025-06-24,0.08352909750218107
2025-06-25,0.2047370856315699
2025-06-26,-0.016178835930256708
2025-06-27,0.2552363722732795
2025-06-30,0.23756147467303323
2025-07-01,0.09474082673838824
2025-07-02,0.06923457334568694
2025-07-03,0.23202961401961836
2025-07-04,0.1623236820457784
2025-07-07,0.1604325853332743
2025-07-08,0.13457675672706926
2025-07-09,0.2129003187014954
2025-07-10,0.1607129352743233
2025-07-11,0.14876180128439231
2025-07-14,0.09680671221139281
2025-07-15,0.12552612677295494
2025-07-16,0.07949482046066425
2025-07-17,0.21618637233050653
2025-07-18,0.3664193457121052
2025-07-21,0.182374998179192
2025-07-22,0.12084643739346146
2025-07-23,0.14344140763655344
2025-07-24,0.26871721537587345
2025-07-25,0.16681095429747628
2025-07-28,0.11287235355987824
2025-07-29,0.17626627457369248
2025-07-30,0.1950485665029082
2025-07-31,0.19916192549186007
2025-08-01,0.4141054800972368
2025-08-04,0.1973694277890229
2025-08-05,0.12505868290816824
2025-08-06,0.16192753812246297
2025-08-07,0.3271304382953033
2025-08-08,0.20119426919240258
2025-08-11,0.12099816342882497
2025-08-12,0.052850981324009894
2025-08-13,0.15991523391358986
2025-08-14,0.21847854020452145
2025-08-15,0.0658529859359307
2025-08-18,0.22905739516888146
2025-08-19,0.04636767810424214
